//Index   Message
743 "Xin lỗi, tôi không có hứng thú với những món đồ này."
744 "Bạn đã trao đổi các mặt hàng của bạn để nhận giải thưởng!"
745 "[%s] Bắt đầu sau %d phút!"
746 "[%s] Câu hỏi: (Sử dụng /traloi để trả lời)"
747 "[%s] %s"
748 "[%s] %s đã thắng sự kiện!"
749 "[%s] Không có người chiến thắng!"
750 "[%s] Trả lời sai!"
751 "[%s] Phản hồi: %s"
752 "[PickUp %s] Đã bật!"
753 "[PickUp %s] Đã bị vô hiệu hóa!"
754 "[PickUp] Vô hiệu hóa!"
755 " Đặt lại điểm Master thành công !"
756 " Lỗi ! Không thể đặt lại điểm master!"
757 "[BuyVip] Bạn không có số lượng cần thiết để mua!"
758 "[BuyVip] Xin chúc mừng bạn đã đăng ký %s!"
759 "[BuyVip] Gói bạn chọn nằm dưới gói hiện tại của bạn!"
760 "Đã %d WC từ tài khoản của bạn!"
761 "Đã %d WP từ tài khoản của bạn!"
762 "Đã %d GP từ tài khoản của bạn!"
763 "Bạn không thể sử dụng tấn công tùy chỉnh khi bật MuHelper!"
764 "Bạn không thể sử dụng MuHelper với tấn công tùy chỉnh chủ động!"
765 "Không thể sử dụng ở mức trên: %d"
766 "Giá trị sử dụng: %d WC!"
767 "Giá trị sử dụng: %d WP!"
768 "Giá trị sử dụng: %d GP!"
769 "Đội liên minh đã thắng sự kiện!"
770 "Đội Phanton đã chiến thắng sự kiện này!"
771 "[OffPvp] Bật"
772 "[OffPvp] Tắt"
773 "[Khóa Item] Bật khóa item!"
774 "[Khóa Item] Mật khẩu tối đa 8 ký tự!"
775 "[Khóa Item] Đã được bật, sử dụng /unlock để mở khóa!"
776 "[Khóa Item] Tắt!"
777 "[Khóa Item] Mật khẩu không hợp lệ!"
778 "[Khóa Item] Vui lòng mở khóa trước khi thao tác"
779 "Bạn chỉ có thể kích hoạt lệnh trong vùng an toàn"
780 "Cửa hàng cá nhân trống hoặc các mặt hàng không có giá"
781 "CHÚ Ý !! Các mặt hàng được bán bằng Jewel of Bless"
782 "CHÚ Ý !! Các mặt hàng được bán bằng Jewel of Soul"
783 "CHÚ Ý !! Các mặt hàng được bán bằng Jewel of Chaos"
784 "CHÚ Ý !! Các mặt hàng được bán bằng WCoinC"
785 "CHÚ Ý !! Các mặt hàng được bán bằng WCoinP"
786 "CHÚ Ý !! Các mặt hàng được bán bằng Gobilpoin"
787 "Bạn cần mở Cửa hàng cá nhân trước"
788 "Lệnh sẽ được thực thi trong %d phút (s)"
789 "Thời gian sử dụng cửa hàng đã hết hạn"
790 "[Tấn công] Tắt"
791 "[Tấn công] Bạn không thể sử dụng vị trí này"
792 "[Tấn công] Bạn không có Kỹ năng cần thiết để sử dụng"
793 "[Tấn công] Thời gian sử dụng: %d phút (s)"
794 "[Tấn công] Hết giờ"
795 "[Tấn công] Đã bật"
796 "[OffAttack] Bạn phải bật /tấn công trước"
797 "[OffAttack] Bạn không thể sử dụng vị trí này"
798 "Hội này không tồn tại!"
799 "[PvP] Hết giờ!"
800 "[PvP] Đã hủy!"
801 "[PvP] %s x %s đã bắt đầu!"
802 "[PvP] %s %d x %d %s!"
803 "[PvP] %s đã chiến thắng sự kiện!"
804 "[PvP] Đã bắt đầu!"
805 "[MataMata] Đã đóng!"
806 "[MataMata] Sự kiện bắt đầu!"
807 "[MataMata] Hết giờ!"
808 "[MataMata] Đã hủy!"
809 "[MataMata] Đã mở (Người tham dự tối đa: %d)!"
810 "[MataMata] Nhập /muốn tham gia!"
811 "[MataMata] Người chơi %d: %s đã thêm!"
812 "[MataMata] thứ 1 - %s ( %d điểm)!"
813 "[MataMata] 2 - - %s ( %d điểm)!"
814 "[MataMata] thứ 3 - %s ( %d điểm)!"
815 "[MataMata] Vị trí của bạn: %dº ( %d điểm)!"
816 "[MataMata] Điểm: %d điểm!"
817 "Tên mới chứa văn bản không được phép!"
818 "Bắt buộc: %d relife để di chuyển."
819 "Bạn cần dưới %d relife để di chuyển"
820       "Lệnh: [/paquete (alma, bendición, etc.) (10,20,30)]"
821       "Lệnh: [/desempaquetar (alma, bendición, etc.) (10,20,30)]"
822 "Bạn không có (các) mục bắt buộc."
823 "Lệnh hoàn thành thành công."
824 "Bạn không có không gian trong kho."
825 "[TvTEvent] sẽ đóng sau %d phút"
826 "Sự kiện không dành cho người có Party"
827 "[TvTEvent] đã đóng!"
828 "[TvTEvent] bắt đầu sau %d phút"
829 "[TvTEvent] đã bắt đầu!"
830 "[TVTV] đã kết thúc!"
831 "[TvTEvent] Bạn không thể tham gia!"
832 "[TvTEvent] Không mở!"
833 "[TvTEvent] Bạn không có mục cần thiết để nhập!"
834 "Bạn không đủ tiền để mua món đồ này!"
835 "Không được phép trong thương mại!"
836 "Giảm giá %d Zen khi sử dụng lệnh!"
837 "Giá trị sử dụng: %d WC, %d WP, %d GP!"
838 "Nhập lại lệnh nếu bạn muốn sử dụng nó!"
839 "Một người dùng bang hội khác có một rương mở!"
840 "Bạn không được phép sử dụng Rương bang hội!"
841 "%s đã cấm ký tự %s trong %d ngày!"
842 "%s đã cấm tài khoản nhân vật %s trong %d ngày!"
843 "[AntiHack] SpeedHack được phát hiện!"
844 	"[Giao dịch] Giá trị bắt buộc: %d Zen!"
845 	"[Giao dịch] Giá trị bắt buộc: %d WC!"
846 	"[Giao dịch] Giá trị bắt buộc: %d WP!"
847 	"[Giao dịch] Giá trị bắt buộc: %d GP!"
848 	"[Giao dịch] %s không có giá trị bắt buộc!"
849 	"[Nhiệm Vụ %d] Cần %d Tiền mặt để thực hiện!"
850 	"[Nhiệm Vụ %d] Cần %d Vàng để thực hiện!"
851 	"[Nhiệm Vụ %d] Cần %d PcPoint để thực hiện!"
852 	"[Nhiệm Vụ %d] Không còn hàng tồn kho để nhận giải thưởng của bạn!"
853 	"[Nhiệm Vụ %d] Buff đã hoạt động, thực hiện nhiệm vụ sau!"
854 	"Giết %d quái vật để để hoàn thành nhiệm vụ!"
855 	"Nhiệm vụ đã hoàn thành!"
856	 	"[Nhiệm Vụ %d] Bạn không có bằng sáng chế cần thiết!"
857 	"[Nhiệm Vụ %d] Bắt buộc %d Kill (s) để tiếp tục!"
858 	"Phòng dành cho người mới bắt đầu! Để lại trong %d giây"
859 	"Bạn không thể truy cập vào căn phòng này! Để lại trong %d giây"
860       "[Nhiệm Vụ] Xin chúc mừng, bạn đã hoàn thành nhiệm vụ này!"
861       "Bên bị hạn chế bởi %d mức chênh lệch"
889		"%s Nâng Cấp Xịt Cánh Cấp 1"
890		"%s Nâng Cấp Xịt Cánh Cấp 2"
891		"%s Nâng Cấp Xịt Cánh Cấp 3"
893	 	"%s Nâng Cấp Xịt [Kỳ Lân]"
894	 	"%s Nâng Cấp Xịt [Thú Nuôi]"
895	 	"%s Nâng Cấp Xịt [Sừng Gãy]"
896	 	"%s Nâng Cấp Xịt [Linh Hồn Sói Tinh]"
897	 	"%s Nâng Cấp Xịt [Sói Tinh - Hoàng Kim]"
900  	"%s Nâng Cấp Thành Công %s   Lên + %d"
901  	"%s Nâng Cấp Xịt %s  Lên + %d"
902  	"%s Nâng Cấp Thành Công %s "
903  	"%s Nâng Xịt Đã Trả Đồ Cho Gobin Chaos"
904     "Boss Tarkan bị tiêu diệt bởi %s"
905     "Boss Barack bị tiêu diệt bởi %s"
906     "Người chơi %s đã tiêu diệt Kundun"
907     "%s đã tiêu diệt Ma Sói"
908     "%s đã tiêu diệt Rương Kho Báu"
909     "%s đã tiêu diệt Rương Kho Báu Nhận Ngay Túi Mù"
910     "%s đã tiêu diệt Tử Thần Xương Sọ"

911     "%s đã tiêu diệt Boss Class DK" 
912     "%s đã tiêu diệt Boss Class DW" 
913     "%s đã tiêu diệt Boss Class ELF"
914     "%s đã tiêu diệt Boss Class MG" 
915     "%s đã tiêu diệt Boss Class DL" 
916     "%s đã tiêu diệt Boss Class SM" 
917     "%s đã tiêu diệt Boss Class RF" 

918     "%s đã tiêu diệt Boss Hell Main Gold" 
919     "%s đã tiêu diệt Boss Kundun Gold" 
920     "%s đã tiêu diệt Boss Selupan Gold" 
921     "%s đã tiêu diệt Boss Medusa Gold" 
922     "%s đã tiêu diệt Boss Chiến Thần" 
923     "%s đã tiêu diệt Boss Pharaong" 
924     "Sự Kiện Boss Vàng Đã Kết Thúc" 
925     "Sự Kiện Boss Class Đã Kết Thúc" 
926     "Sự Kiện Đệ Nhất Kiếm Ma Đã Kết Thúc" 
927     "Sự Kiện King Wolf Đã Kết Thúc" 
928     "Sự Kiện Chiến Thần Đã Kết Thúc" 
929     "Sự Kiện Boss Đế Quân Đã Bắt Đầu"
930     "Sự Kiện Boss Đế Quân Đã Kết Thúc"
931     "Sự Kiện Boss Lord Of Darkness Đã Bắt Đầu"
932     "Sự Kiện Boss Lord Of Darkness Đã Kết Thúc"
933     "%s đã tiêu diệt Boss Đế Quân"
934     "%s đã tiêu diệt Boss Lord Of Darkness"
935     "%s đã tiêu diệt Boss Ma Thần"


1000	    "Bạn đã giết được %d / %d quái"
1001	    "[%s] Đã tiêu diệt %d quái trong Blood, Ngọc rơi đầy chân!"          
1002	    "[%s] Đã tiêu diệt %d quái trong Devil, Ngọc rơi đầy chân!"          

1112	"Chúc Mừng [%s] Nhặt Được [%s] Tại Map [%s]"
1113	"Chúc Mừng [%s] Nhặt Được [%s] Tại Map [%s]"
1114	"Chúc Mừng [%s] Nhặt Được [%s] Tại Map [%s]"

//==New
2000		"GHRS Hôm nay là %d Reset"
2021       "[Đổi Giới Tính] Bạn không đủ %d WCoinC để thực hiện!"
2022       "[Đổi Giới Tính] Vui lòng tháo hết đồ trên nhân vật!"

//========================BOSS GUILD============================================
2171	"[Boss Guild] Bắt đầu sau %d phút !"
2172	"[Boss Guild] Bắt đầu sau %d giây !"
2173	"[Boss Guild] Sự kiện bắt đầu !"
2174	"[Boss Guild] Sẽ kết thúc sau %d phút !"
2175	"[Boss Guild] Đã kết thúc !"
2176	"Bạn Bấm Quá Nhanh Đợi Chút Đi !"
2177	"Chưa Đến Thời Gian Diễn Ra Sự Kiện"
2178	"[BossGuild] Không thấy thông tin Guild của bạn"
2179	"[BossGuild] Bạn chưa vào Guild nên không thể tham gia !"
2180	"[BossGuild] Guild bạn không đủ người tham gia !"
2181	"[%s] Guild [%s] đã Tiêu Diệt Boss Guild"
2182	"Guild [%s] + [%d] WCoin cho các thành viên tham gia!"
2183	"Thời Gian:"
