//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
457       0      40    220    15     235     30      0            0           0          400       *          *          0
//================================================================================================================================================
// TEAM VS TEAM EVENT
//================================================================================================================================================
//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
458       0      87    26     140    30      145     0            0           0          400        *          *          0    //TvT Event Waiting
459       0      87    40     15     45      17      0            0           0          400        *          *          0    //TvT Event BlueTeam
460       0      87    40     82     45      84      0            0           0          400        *          *          0    //TvT Event RedTeam
//================================================================================================================================================
// NEW MAPS
//================================================================================================================================================
461       0      85    232    151    237     145     0            0           250        400       *          *          0 //FEREA
462       0      84    029    119    029     119     0            0           250        400       *          *          0 //NIXIES LAKE
463       0      83    129    122    139     110     0            0           250        400       *          *          0 //SWAMP OF DARKNESS
465       0      89    065    042    065     042     0            0           300        400       *          *          0 //AcheronVIP
//465       0      89    052    183    053     184     0            0           300        400       *          *          0 //Acheron
//================================================================================================================================================
// GUILD VS GUILD EVENT
//================================================================================================================================================
466       0      82    110    143    110     143     0            0           0          400       *          *          0 //GVG MAP EVENT AGUARDAR
467       0      82    018    016    018     016     0            0           0          400       *          *          0 //GVG MAP EVENT GUILD 1
468       0      82    015    043    015     043     0            0           0          400       *          *          0 //GVG MAP EVENT GUILD 2
469       0      82    035    061    035     061     0            0           0          400       *          *          0 //GVG MAP EVENT GUILD 3
470       0      82    059    048    059     048     0            0           0          400       *          *          0 //GVG MAP EVENT GUILD 4
471       0      82    050    023    050     023     0            0           0          400       *          *          0 //GVG MAP EVENT GUILD 5
//================================================================================================================================================													
//	ACHERON ARKA WAR												
//================================================================================================================================================
472	1	92	82	204	86	205	473	0	250	*	*	*	0
473	2	92	216	172	216	172	0	0	250	*	*	*	0

//================================================================================================================================================
// NEW MAPS
//================================================================================================================================================
487       0      86    212    192    212     192     0            0           250        400       *          *          0 //NARS
488       0      87    225    118    239     117     0            0           250        400       *          *          0 //KUBERA MINE
489       0      88    021    087    021     087     0            0           250        400       *          *          0 //URK MOUNTAIN
//================================================================================================================================================													
//	Deep Dungeon												
//================================================================================================================================================													
//Index	Flag	MapN   MapSX  MapSY  MapTX   MapTY   TargetGate	  TargetDir   MinLevel	 MaxLevel   MinReset   MaxReset	  AccountLevel
490       0     91     123    124    128     116     0            0           400        400       *          *          0 //Deep Dungeon 1
491       0     91     016    085    016     085     0            0           400        400       *          *          0 //Deep Dungeon 2
492       0     91     088    227    088     227     0            0           400        400       *          *          0 //Deep Dungeon 3
493       0     91     235    174    235     174     0            0           400        400       *          *          0 //Deep Dungeon 4
494       0     91     240    041    240     041     0            0           400        400       *          *          0 //Deep Dungeon 5
//================================================================================================================================================													
//	Raklion - Nixies											
//================================================================================================================================================													
495	1	57	209	219	211	219	496	3	250	400	*	*	0
496	2	84	17	118	19	121	0	1	250	400	*	*	0
//================================================================================================================================================													
//	OUTROS GATES 2												
//================================================================================================================================================
497	2	57	209	217	211	217	0	3	250	*	*	*	0
498	2	8	178	41	178	41	0	0	250	400	*	*	0
499	1	2	159	55	160	59	444	3	250	400	*	*	0
500	1	8	176	40	177	41	386	0	250	400	*	*	0
//================================================================================================================================================													
//	Scotch Canyon											
//================================================================================================================================================
//Index	Flag	MapN   MapSX  MapSY  MapTX   MapTY   TargetGate	  TargetDir   MinLevel	 MaxLevel   MinReset   MaxReset	  AccountLevel
550       0     93     128    129    128     129     0            0           400       400       *          *          0 //Atlans Abyss 1
551       0     93     048    106    048     106     0            0           400       400       *          *          0 //Atlans Abyss 2
552       0     93     216    146    216     146     0            0           400       400       *          *          0 //Atlans Abyss 3
553       0     94     240    012    240     012     0            0           400       400       *          *          0 //Scotch Canyon
554       0     90     23     100    24      101     0            0           50        400       *          *          0 //Debenter
//================================================================================================================================================													
//	DEAD GATES												
//================================================================================================================================================
//Index	Flag	MapN   MapSX  MapSY  MapTX   MapTY   TargetGate	  TargetDir   MinLevel	 MaxLevel   MinReset   MaxReset	  AccountLevel

601       0      83    129    122    139     110     0            0           250        400       *          *          0 //SWAMP OF DARKNESS DEAD
602       0      84    029    119    029     119     0            0           250        400       *          *          0 //NIXIES LAKE DEAD
603       0      85    231    151    237     143     0            0           250        400       *          *          0 //FEREA DEAD
604       0      86    212    192    212     192     0            0           250        400       *          *          0 //NARS DEAD
605       0      87    225    118    239     117     0            0           260        400       *          *          0 //KUBERA MINE DEAD
606       0      88    30     38     90      84      0            0           250        400       *          *          0 //URK MOUNTAIN DEAD
607       0      89    062    200    062     200     0            0           300        400       *          *          0 //ACHERON DEAD
609       0      91    126    119    126     119     0            0           400        400       *          *          0 //DEEP DUNGEON DEAD
610       0      92    061    201    061     201     0            0           250        400       *          *          0 //ACHERON EVENT DEAD
612       0      94    240    012    240     012     0            0           50         400       *          *          0 //Scotch Canyon

700       0      86    199    174    199    174      0            0           50         400       *          *          0 //Rspaw Nars
701       0      90    25     102    25     102      0            0           50         400       *          *          0 //Rspaw Debenter
702       0      89    52     183    52     183      0            0           50         400       *          *          0 //Rspaw Acheron
702       0      89    65     42    65     42      0            0           50         400       *          *          0 //Rspaw Acheron khi giet
//505		  0		 92	   43	  51	 43	    48		0			  0			  50		 10000		*		   *		  0 //Maplol
703       0      92    65     43     65     43      0             0           0          10000      *          *          0  //Arena VIP
//================================================================================================================================================													
//	MOVE EVENT												
//================================================================================================================================================
800		2		2	   210	  27	 210	27		0			  0			  50		 400		*		   *		  0  // "0" Huyết Lâu
801     2		3	   174	  104	 174	104		0			  0			  50		 400		*		   *		  0  // "1" Quảng Trường Quỷ
802     2		0	   124	  133	 124	133		0			  0			  50		 400		*		   *		  0  // "2" Hỗn Nguyên Lâu
803     2		0	   134	  128	 134	128		0			  0			  50		 400		*		   *		  0  // "3" Boss Guild 
804     2		0	   134	  128	 134	128		0			  0			  50		 400		*		   *		  0  // "4" Mưa Quà Tặng
805     2		0	   134	  128	 134	128		0			  0			  50		 400		*		   *		  0  // "5" Loạn Chiến PK					
806		2		0	   140	  137	 140	137		0			  0			  50		 400		*		   *		  0  // "6" Thần Ma Chiến

807     2		37	   040    215    040    215		0			  0			  50		 400		*		   *		  0  // "7" 	Rồng Thiêng" 	      
808     2		57	   057	  175	 057 	175		0			  0			  50		 400		*		   *		  0  // "8" 	Triệu Long Võ Tôn"  	  
809     2		00	   140	  130	 140	130		0			  0			  50		 400		*		   *		  0  // "9" 	Boss Vàng"  			 	
810     2		10	   015	  017	 015	017		0			  0			  50		 400		*		   *		  0  // "10"	Ma Thần"  			
811     2		00	   140	  130	 140	130		0			  0			  50		 400		*		   *		  0  // "11"	Tử Thần Xương Sọ"  	
812		2		04	   207	  077	 207	077		0			  0			  50		 400		*		   *		  0  // "12"	Thỏ Ngọc"  			
813     2		34	   223	  043	 223	043		0			  0			  50		 400		*		   *		  0  // "13"	Kỵ Sĩ Hắc Ám"  																																		
814     2		33	   188	  175	 188	175		0			  0			  50		 400		*		   *		  0  // "14"	Quỷ Vương"  			
815     2		33	   039    067    039    067		0			  0			  50		 400		*		   *		  0  // "15"	Kun Dun"  		    
816     2		02	   066    183    066    183		0			  0			  50		 400		*		   *		  0  // "16"	Đại Chiến Siêu Boss"	
817     2		42	   105    185    105    185		0			  0			  50		 400		*		   *		  0  // "17"	Boss Nhện"  		    
818     2		02	   225    231    225    231		0			  0			  50		 400		*		   *		  0  // "18"	Kiếm Vương "  	    
819     2		37	   071    183    071    183		0			  0			  50		 400		*		   *		  0  // "19"	Ma Sói"  			
820     2		03	   174    114    174    114		0			  0			  50		 400		*		   *		  0  // "20"	Rồng Đỏ"  			
821     2		51	   192    032    192    032		0			  0			  50		 400		*		   *		  0  // "21"	Chiến Thần"  		
822     2		07	   065    163    065    163		0			  0			  50		 400		*		   *		  0  // "22"	Đế Quân"  			
823     2		56	   047    201    047    201		0			  0			  50		 400		*		   *		  0  // "23"	Lord Of Darkness"  	

//823        0     99    94      86    94    	 86        0            0           0           *        *          *          0    	//Battble Survivor Event Waiting
//824        0     99    64	  55	 68	 	 53	       0            0           0           *        *          *          0    	//Battble Survivor BlueTeam
//825        2     99    55	  55	 90	     90	       0            0           0           *        *          *          0    	//Battble Survivor RedTea

826        0     105	84      137	    84      137       0         0           200           *        *          *          0       // Boss Guild

835        0     98     79      23     84       30      0            0           0          400        *          *          0		//CTC Gate 1
836        0     98     109     23     114      30      0            0           0          400        *          *          0		//CTC Gate 2
837        0     98     138     23     143      30      0            0           0          400        *          *          0		//CTC Gate 3
838        0     98     171     23     177      30      0            0           0          400        *          *          0		//CTC Gate 4
839        0     98     123     235    134      242     0            0           0          400        *          *          0		//CTC Gate 5
end
